"competition","policy","mean_quality","sd_quality","n","se_quality","ci_low","ci_high"
0.5,"Greedy",5.64642085585926,1.21578371760071,100,0.121578371760071,5.40812724720953,5.884714464509
0.5,"Threshold_6",7.94506953074036,0.599965006885355,100,0.0599965006885355,7.82747638939083,8.06266267208989
0.5,"Threshold_8",7.97050338940716,1.22234889433713,100,0.122234889433713,7.73092300611708,8.21008377269724
0.5,"Optimal_Stopping",6.21571746396835,1.10608897830112,100,0.110608897830112,5.99892402422133,6.43251090371537
1,"Greedy",5.33698876480703,0.75296227845128,100,0.075296227845128,5.18940815823058,5.48456937138348
1,"Threshold_6",6.95525082305787,0.781566026943582,100,0.0781566026943582,6.80206388177693,7.10843776433881
1,"Threshold_8",5.32893336181863,1.04394444214042,100,0.104394444214042,5.12432025115911,5.53354647247816
1,"Optimal_Stopping",4.23364471221494,0.556091787392291,100,0.0556091787392291,4.12465072188605,4.34263870254383
1.5,"Greedy",5.17966576651166,0.59923471587639,100,0.059923471587639,5.06221576219989,5.29711577082344
1.5,"Threshold_6",6.8224353201275,0.674771643064749,100,0.0674771643064749,6.69018007808681,6.95469056216819
1.5,"Threshold_8",6.05775355639876,1.19227124984308,100,0.119227124984308,5.82406839142952,6.29143872136801
1.5,"Optimal_Stopping",4.11830026992085,0.519790355618654,100,0.0519790355618654,4.01642136021959,4.2201791796221
2,"Greedy",4.86709519596061,0.56718431733409,100,0.056718431733409,4.75592706976312,4.97826332215809
2,"Threshold_6",7.01547904780395,0.72715541135236,100,0.072715541135236,6.87295658717888,7.15800150842901
2,"Threshold_8",6.79050890343059,1.76772612010272,100,0.176772612010272,6.44403458389045,7.13698322297072
2,"Optimal_Stopping",4.06437674002672,0.777669228393816,100,0.0777669228393816,3.91195357126153,4.21679990879191
3,"Greedy",4.48233909459564,0.364413629009431,100,0.0364413629009431,4.41091402330979,4.55376416588149
3,"Threshold_6",7.63748431953982,0.546137667179357,100,0.0546137667179357,7.53044133677266,7.74452730230697
3,"Threshold_8",8.23765297311176,1.78029017117536,100,0.178029017117536,7.88871609956139,8.58658984666213
3,"Optimal_Stopping",1.56446835839179,2.14807082495023,100,0.214807082495023,1.14344647670155,1.98549024008204
5,"Greedy",4.506620722596,0.400611994221889,100,0.0400611994221889,4.42810077172851,4.58514067346349
5,"Threshold_6",7.82354827369207,0.488573059280875,100,0.0488573059280875,7.72778795407302,7.91930859331113
5,"Threshold_8",8.58117806926149,2.00912464784316,100,0.200912464784316,8.18738963828423,8.97496650023875
5,"Optimal_Stopping",0,0,100,0,0,0
7,"Greedy",4.53406781002047,0.35241005856548,100,0.035241005856548,4.46499543854163,4.6031401814993
7,"Threshold_6",7.76819557746135,0.430679592005592,100,0.0430679592005592,7.68378237742825,7.85260877749445
7,"Threshold_8",8.5033830240436,1.99486491182841,100,0.199486491182841,8.11238950132523,8.89437654676197
7,"Optimal_Stopping",0,0,100,0,0,0
10,"Greedy",4.50603279620955,0.405361137707902,100,0.0405361137707902,4.4265820132188,4.5854835792003
10,"Threshold_6",7.78131068123498,0.455982216529109,100,0.0455982216529109,7.69193816679527,7.87068319567468
10,"Threshold_8",8.84452544112423,1.31831677189034,100,0.131831677189034,8.58613535383373,9.10291552841474
10,"Optimal_Stopping",0,0,100,0,0,0
15,"Greedy",4.52462777691475,0.463337721785418,100,0.0463337721785418,4.43381358344481,4.61544197038469
15,"Threshold_6",7.87209841841184,0.488716504557716,100,0.0488716504557716,7.77630998351852,7.96788685330515
15,"Threshold_8",8.31899002937307,2.31633578400596,100,0.231633578400596,7.8649882157079,8.77299184303823
15,"Optimal_Stopping",0,0,100,0,0,0
20,"Greedy",4.54370047032253,0.413389631121614,100,0.0413389631121614,4.46267610262269,4.62472483802236
20,"Threshold_6",7.82029953002293,0.404191802702331,100,0.0404191802702331,7.74107793669327,7.89952112335258
20,"Threshold_8",8.37415764406062,2.34330888812434,100,0.234330888812434,7.91486910198825,8.83344618613299
20,"Optimal_Stopping",0,0,100,0,0,0
