"competition","policy","mean_rounds","sd_rounds","n","se_rounds","ci_low","ci_high"
0.5,"Greedy",1,0,100,0,1,1
0.5,"Threshold_6",3.102,2.7549763972664,100,0.27549763972664,2.56202462613579,3.64197537386421
0.5,"Threshold_8",12.214,7.70749366434112,100,0.770749366434113,10.7033312417891,13.7246687582109
0.5,"Optimal_Stopping",24.076,7.5071833613015,100,0.75071833613015,22.6045920611849,25.5474079388151
1,"Greedy",1,0,100,0,1,1
1,"Threshold_6",16.414,12.2286219975758,100,1.22286219975758,14.0171900884751,18.8108099115249
1,"Threshold_8",52.858,13.3235280612907,100,1.33235280612907,50.246588499987,55.469411500013
1,"Optimal_Stopping",58.397,9.60062555832229,100,0.960062555832229,56.5152773905688,60.2787226094312
1.5,"Greedy",1,0,100,0,1,1
1.5,"Threshold_6",6.76425882450882,4.06459309676259,100,0.406459309676259,5.96759857754336,7.56091907147429
1.5,"Threshold_8",14.7780753968254,6.1258636600741,100,0.612586366007411,13.5774061194509,15.9787446741999
1.5,"Optimal_Stopping",17.7727738095238,4.30565493453682,100,0.430565493453682,16.9288654423546,18.616682176693
2,"Greedy",1,0,100,0,1,1
2,"Threshold_6",3.14688933288933,1.72954134526444,100,0.172954134526444,2.8078992292175,3.48587943656116
2,"Threshold_8",5.53677380952381,3.76819962317181,100,0.376819962317181,4.79820668338214,6.27534093566548
2,"Optimal_Stopping",8.8876626984127,2.14258943013756,100,0.214258943013756,8.46771517010574,9.30761022671966
3,"Greedy",1,0,100,0,1,1
3,"Threshold_6",1.2976784049284,0.460444334514141,100,0.0460444334514141,1.20743131536363,1.38792549449318
3,"Threshold_8",1.4817619047619,1.18546535487406,100,0.118546535487406,1.24941069520659,1.71411311431722
3,"Optimal_Stopping",2.005,2.62621411182851,100,0.262621411182851,1.49026203408161,2.51973796591839
5,"Greedy",1,0,100,0,1,1
5,"Threshold_6",1.08575285825286,0.123769040951641,100,0.0123769040951641,1.06149412622634,1.11001159027938
5,"Threshold_8",0.985595238095238,0.246363964827329,100,0.0246363964827329,0.937307900989082,1.03388257520139
5,"Optimal_Stopping",0,0,100,0,0,0
7,"Greedy",1,0,100,0,1,1
7,"Threshold_6",1.04875468975469,0.0767679170963031,100,0.00767679170963031,1.03370817800381,1.06380120150557
7,"Threshold_8",0.981166666666667,0.252047229376042,100,0.0252047229376042,0.931765409708962,1.03056792362437
7,"Optimal_Stopping",0,0,100,0,0,0
10,"Greedy",1,0,100,0,1,1
10,"Threshold_6",1.02359199134199,0.052788587439049,100,0.0052788587439049,1.01324542820394,1.03393855448005
10,"Threshold_8",1.002,0.170351192010883,100,0.0170351192010883,0.968611166365867,1.03538883363413
10,"Optimal_Stopping",0,0,100,0,0,0
15,"Greedy",1,0,100,0,1,1
15,"Threshold_6",1.01717929292929,0.0564064250653942,100,0.00564064250653942,1.00612363361648,1.02823495224211
15,"Threshold_8",0.940333333333333,0.264386081328045,100,0.0264386081328045,0.888513661393036,0.99215300527363
15,"Optimal_Stopping",0,0,100,0,0,0
20,"Greedy",1,0,100,0,1,1
20,"Threshold_6",1.01994480519481,0.054149823104598,100,0.0054149823104598,1.0093314398663,1.03055817052331
20,"Threshold_8",0.9375,0.264419986561019,100,0.0264419986561019,0.88567368263404,0.98932631736596
20,"Optimal_Stopping",0,0,100,0,0,0
