"competition","policy","mean_match","sd_match","n","se_match","ci_low","ci_high"
0.5,"Greedy",1,0,100,0,1,1
0.5,"Threshold_6",1,0,100,0,1,1
0.5,"Threshold_8",1,0,100,0,1,1
0.5,"Optimal_Stopping",1,0,100,0,1,1
1,"Greedy",1,0,100,0,1,1
1,"Threshold_6",1,0,100,0,1,1
1,"Threshold_8",1,0,100,0,1,1
1,"Optimal_Stopping",1,0,100,0,1,1
1.5,"Greedy",1,0,100,0,1,1
1.5,"Threshold_6",0.726,0.0918179040122032,100,0.00918179040122032,0.708003690813608,0.743996309186392
1.5,"Threshold_8",0.469333333333333,0.105055166951725,100,0.0105055166951725,0.448742520610795,0.489924146055871
1.5,"Optimal_Stopping",0.471333333333333,0.116536242634481,100,0.0116536242634481,0.448492229776975,0.494174436889691
2,"Greedy",1,0,100,0,1,1
2,"Threshold_6",0.502,0.106106483584114,100,0.0106106483584114,0.481203129217514,0.522796870782486
2,"Threshold_8",0.234,0.0825355754333924,100,0.00825355754333924,0.217823027215055,0.250176972784945
2,"Optimal_Stopping",0.264,0.0953674446283924,100,0.00953674446283924,0.245307980852835,0.282692019147165
3,"Greedy",0.933666666666667,0.0563568476415624,100,0.00563568476415624,0.92262072452892,0.944712608804413
3,"Threshold_6",0.264333333333333,0.0753971899436771,100,0.00753971899436771,0.249555484104373,0.279111182562294
3,"Threshold_8",0.116333333333333,0.0549451312884116,100,0.00549451312884116,0.105564087600805,0.127102579065862
3,"Optimal_Stopping",0.019,0.0273215052012997,100,0.00273215052012997,0.0136449849805453,0.0243550150194547
5,"Greedy",0.5824,0.0616461063185861,100,0.00616461063185861,0.570317363161557,0.594482636838443
5,"Threshold_6",0.1546,0.0509985145357047,100,0.00509985145357047,0.144604291151002,0.164595708848998
5,"Threshold_8",0.063,0.0330747546315826,100,0.00330747546315826,0.0565173480922098,0.0694826519077902
5,"Optimal_Stopping",0,0,100,0,0,0
7,"Greedy",0.424714285714286,0.0365405149828137,100,0.00365405149828137,0.417552344777654,0.431876226650917
7,"Threshold_6",0.103,0.0336285627239737,100,0.00336285627239737,0.0964088017061012,0.109591198293899
7,"Threshold_8",0.0437142857142857,0.0238372133363217,100,0.00238372133363217,0.0390421919003667,0.0483863795282048
7,"Optimal_Stopping",0,0,100,0,0,0
10,"Greedy",0.2972,0.027157602131546,100,0.0027157602131546,0.291877109982217,0.302522890017783
10,"Threshold_6",0.0732,0.0222873792251865,100,0.00222873792251865,0.0688316736718634,0.0775683263281366
10,"Threshold_8",0.0296,0.0156940444214686,100,0.00156940444214686,0.0265239672933921,0.0326760327066078
10,"Optimal_Stopping",0,0,100,0,0,0
15,"Greedy",0.198533333333333,0.018436775818493,100,0.0018436775818493,0.194919725272909,0.202146941393758
15,"Threshold_6",0.0499333333333333,0.0161222880074398,100,0.00161222880074398,0.0467733648838751,0.0530933017827915
15,"Threshold_8",0.0182,0.00979498027605493,100,0.000979498027605493,0.0162801838658932,0.0201198161341068
15,"Optimal_Stopping",0,0,100,0,0,0
20,"Greedy",0.1473,0.0117941091270604,100,0.00117941091270604,0.144988354611096,0.149611645388904
20,"Threshold_6",0.0378,0.0103796615425251,100,0.00103796615425251,0.0357655863376651,0.0398344136623349
20,"Threshold_8",0.0149,0.00775183262789574,100,0.000775183262789574,0.0133806408049324,0.0164193591950676
20,"Optimal_Stopping",0,0,100,0,0,0
